GaugeID,Unnamed: 0,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Streamflow_Entries,Privacy,Expected_entries,missing_percent,Period_length
IWM-gauge-17,16,Chennur,14.5722,78.8,Pennar,Pennar,Andhra Pradesh,1989-07-13,2019-02-06,10689,Open,10801.0,1.0369410239792654,29.59178082191781
IWM-gauge-27,26,Tadipatri,14.9222,78.0028,Pennar,Pennar,Andhra Pradesh,1971-12-12,2017-10-25,16287,Open,16755.0,2.7931960608773454,45.9041095890411
IWM-gauge-29,28,Mantralayam,15.9483,77.4264,Krishna/Tungabha dra,Krishna,Andhra Pradesh,1972-01-06,2019-02-02,16955,Open,17195.0,1.395754579819719,47.10958904109589
IWM-gauge-32,31,Bawapuram,15.8833,77.9572,Krishna/ Tungabhadra,Krishna,Andhra Pradesh,1965-06-01,2019-02-03,19554,Open,19606.0,0.2652249311435262,53.71506849315068
IWM-gauge-36,35,Koida,17.4825,81.3867,Godavari,Godavari,Andhra Pradesh,1977-06-01,2006-06-09,10601,Open,10601.0,0.0,29.043835616438358
IWM-gauge-40,39,Naidupet,13.9472,79.8972,Swarnamukhi,East Flowing Rivers between Pennar and Kanyakumari,Andhra Pradesh,1978-12-01,2018-03-10,13854,Open,14345.0,3.4227953990937587,39.3013698630137
IWM-gauge-54,53,Keesara,16.7156,80.3164,Krishna/Munneru,Krishna,Andhra Pradesh,1965-01-01,2019-03-20,19760,Open,19802.0,0.2120997879002106,54.25205479452055
IWM-gauge-57,56,Alladupalli,14.7172,78.6686,Pennar/Kunderu,Pennar,Andhra Pradesh,1985-08-21,2019-02-17,12207,Open,12234.0,0.2206964198136374,33.51780821917808
IWM-gauge-60,59,Wadenepally,16.7942,80.0692,Krishna,Krishna,Andhra Pradesh,1965-12-01,2019-03-20,19433,Open,19468.0,0.1797822066981758,53.33698630136986
IWM-gauge-68,67,Polavaram,17.2519,81.6564,Godavari,Godavari,Andhra Pradesh,1965-12-01,2019-03-08,19227,Open,19456.0,1.177014802631582,53.3041095890411
IWM-gauge-108,107,Kokrajhar,26.39636,90.25444,Gaurang,Brahamaputra,Assam,1997-01-06,2021-05-31,8733,Restricted,8912.0,2.00852782764811,24.416438356164385
IWM-gauge-109,108,Pancharatna,26.1999,90.57401,Brahmaputra,Brahamaputra,Assam,1990-01-06,2020-05-31,10789,Restricted,11104.0,2.836815561959649,30.421917808219177
IWM-gauge-110,109,Pandu,26.17064,91.66963,Brahmaputra,Brahamaputra,Assam,1999-06-01,2021-05-31,8036,Restricted,8036.0,0.0,22.016438356164382
IWM-gauge-113,112,Baltara,25.5006,86.75,Ganga/Kosi,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14852,Restricted,14975.0,0.821368948247081,41.02739726027397
IWM-gauge-114,113,Lalbegiyaghat,26.7153,84.9586,Ganga/Burhi Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,1974-06-03,2010-12-30,13324,Restricted,13360.0,0.2694610778443129,36.602739726027394
IWM-gauge-115,114,Benibad,26.1453,85.6922,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-04-01,2010-12-30,9384,Restricted,9405.0,0.2232854864433808,25.767123287671232
IWM-gauge-116,115,Ekmighat,26.1167,85.8589,Ganga/Kosi/ Bagmati/Adhwara,Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-04-01,2010-12-30,9312,Restricted,9405.0,0.988835725677828,25.767123287671232
IWM-gauge-117,116,Dumariaghat,26.3792,84.7317,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,1977-01-01,2010-12-31,12356,Restricted,12418.0,0.4992752456112082,34.02191780821918
IWM-gauge-119,118,Jhanjharpur,26.2333,86.2594,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14616,Restricted,14975.0,2.3973288814691185,41.02739726027397
IWM-gauge-120,119,Dhengraghat,25.8478,87.8031,Ganga/Mahananda,Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-04-01,2010-12-31,9375,Restricted,9406.0,0.3295768658303166,25.76986301369863
IWM-gauge-121,120,DHENG BRIDGE,26.7228,85.3231,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-07-01,2010-12-31,14750,Restricted,14794.0,0.2974178721103171,40.53150684931507
IWM-gauge-122,121,Sikandarpur,26.1394,85.4,"Ganga/
Burhi Gandak",Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14885,Restricted,14975.0,0.6010016694490861,41.02739726027397
IWM-gauge-123,122,Tribeni,27.4417,83.9167,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14882,Restricted,14975.0,0.6210350584307189,41.02739726027397
IWM-gauge-124,123,Hayaghat,26.0333,85.9,Ganga/Kosi/Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-01-31,14611,Restricted,14641.0,0.2049040366095211,40.11232876712329
IWM-gauge-125,124,Saulighat,26.4089,85.8597,"Ganga/Kosi/
Bagmati/Adhwara/ Dhaus",Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-03-22,2010-12-31,9371,Restricted,9416.0,0.4779099405267661,25.797260273972604
IWM-gauge-130,129,Jagdalpur,19.1081,82.0228,Godavari/ Indravati,Godavari,Chhattisgarh,1965-06-01,2018-10-31,18777,Open,19511.0,3.761980421300804,53.45479452054794
IWM-gauge-134,133,Konta,17.7989,81.3928,Godavari/Sabari,Godavari,Chhattisgarh,1965-12-01,2019-01-31,18691,Open,19420.0,3.7538619979402665,53.205479452054796
IWM-gauge-135,134,Baronda,20.9125,81.8861,Mahanadi/Pairi,Mahanadi,Chhattisgarh,1977-12-06,2019-03-07,14734,Open,15067.0,2.210128094511188,41.27945205479452
IWM-gauge-138,137,Seorinarayan,21.7167,82.5967,Mahanadi,Mahanadi,Chhattisgarh,1985-06-01,2019-03-07,12160,Open,12333.0,1.4027406146112087,33.78904109589041
IWM-gauge-139,138,Basantpur,21.7267,82.7881,Mahanadi,Mahanadi,Chhattisgarh,1971-05-12,2019-03-07,17437,Open,17467.0,0.171752447472373,47.85479452054795
IWM-gauge-142,141,Kotni,21.2361,81.2472,Mahanadi/ Seonath,Mahanadi,Chhattisgarh,1978-09-30,2019-03-07,14657,Open,14769.0,0.758345182476805,40.463013698630135
IWM-gauge-143,142,Ghatora,22.0567,82.2194,Mahanadi/Seonath,Mahanadi,Chhattisgarh,1979-09-17,2019-03-07,14282,Open,14417.0,0.9363945342304224,39.4986301369863
IWM-gauge-147,146,Bamnidhi,21.8986,82.7117,Mahanadi/Hasdeo,Mahanadi,Chhattisgarh,1971-02-18,2019-03-07,17550,Open,17550.0,0.0,48.082191780821915
IWM-gauge-149,148,Jondhra,21.7158,82.3472,Mahanadi/ Seonath,Mahanadi,Chhattisgarh,1979-01-07,2019-07-03,14313,Open,14788.0,3.2120638355423337,40.515068493150686
IWM-gauge-152,151,Pathardihi,21.3411,81.5939,Mahanadi/ Seonath/Kharun,Mahanadi,Chhattisgarh,1989-01-01,2019-03-07,10629,Open,11023.0,3.5743445522997352,30.2
IWM-gauge-153,152,Manendragarh,23.2036,82.2172,Mahanadi/ Hasdeo,Mahanadi,Chhattisgarh,1989-06-20,2019-03-07,10700,Open,10853.0,1.40974845664793,29.734246575342464
IWM-gauge-155,154,Andhiyar khore,21.8317,81.6058,Mahanadi/Seonath/Hamp,Mahanadi,Chhattisgarh,1977-11-29,2019-03-07,14946,Open,15074.0,0.8491442218389267,41.298630136986304
IWM-gauge-158,157,Simga,21.6308,81.6878,Mahanadi/ Seonath,Mahanadi,Chhattisgarh,1971-09-01,2019-03-07,17291,Open,17355.0,0.3687698069720579,47.54794520547945
IWM-gauge-164,163,delhi rly bridge,28.6625,77.2467,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Delhi,1963-06-06,2011-12-31,17740,Restricted,17741.0,0.0056366608421121,48.605479452054794
IWM-gauge-196,195,Garudeshwar,21.885,73.6544,Narmada,Narmada,Gujarat,1972-03-22,2018-09-07,16875,Open,16971.0,0.5656708502739916,46.49589041095891
IWM-gauge-198,197,Motinaroli,21.4044,72.9625,Kim (Indepent River),Tapi,Gujarat,1990-10-17,2018-12-26,10074,Open,10298.0,2.175179646533309,28.213698630136985
IWM-gauge-281,280,Mahuwa,21.0158,73.1356,Purna,West flowing rivers from  Tapi to Tadri,Gujarat,1970-12-01,2018-12-29,17070,Open,17561.0,2.795968338932864,48.11232876712329
IWM-gauge-301,300,mohana,28.2242,77.4569,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Haryana,1983-06-01,2012-02-29,10501,Restricted,10501.0,0.0,28.76986301369863
