,x,y,S_yx,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,115.0,115.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,44.0,44.0,0.39285714285714285,0.008928571428571428,-0.18181818181818182
2,IWM-gauge-17,IWM-gauge-29,37.0,37.0,0.35406698564593303,0.0430622009569378,0.5945945945945946
3,IWM-gauge-17,IWM-gauge-32,42.0,42.0,0.35294117647058826,0.029411764705882353,0.5
4,IWM-gauge-17,IWM-gauge-36,20.0,20.0,0.3252032520325203,0.0975609756097561,2.8421052631578947
5,IWM-gauge-17,IWM-gauge-40,34.0,34.0,0.3383084577114428,-0.014925373134328358,-0.3235294117647059
6,IWM-gauge-17,IWM-gauge-54,33.0,33.0,0.28205128205128205,0.042735042735042736,0.30303030303030304
7,IWM-gauge-17,IWM-gauge-57,73.0,73.0,0.6576576576576577,0.06756756756756757,0.4383561643835616
8,IWM-gauge-17,IWM-gauge-60,34.0,34.0,0.3022222222222222,0.05333333333333334,0.8529411764705882
9,IWM-gauge-17,IWM-gauge-68,44.0,44.0,0.37130801687763715,0.08860759493670886,1.627906976744186
10,IWM-gauge-17,IWM-gauge-108,17.0,17.0,0.22972972972972974,-0.02027027027027027,-0.7058823529411765
11,IWM-gauge-17,IWM-gauge-109,15.0,15.0,0.15151515151515152,-0.005050505050505051,-0.13333333333333333
12,IWM-gauge-17,IWM-gauge-110,19.0,19.0,0.2602739726027397,-0.0136986301369863,-0.9473684210526315
13,IWM-gauge-17,IWM-gauge-113,19.0,19.0,0.24675324675324675,0.012987012987012988,0.2631578947368421
14,IWM-gauge-17,IWM-gauge-114,14.0,14.0,0.18666666666666668,0.0,0.07142857142857142
15,IWM-gauge-17,IWM-gauge-115,17.0,17.0,0.21935483870967742,-0.0064516129032258064,-0.47058823529411764
16,IWM-gauge-17,IWM-gauge-116,21.0,21.0,0.2781456953642384,0.006622516556291391,-0.1
17,IWM-gauge-17,IWM-gauge-117,19.0,18.0,0.23270440251572327,-0.012578616352201259,-0.47368421052631576
18,IWM-gauge-17,IWM-gauge-119,17.0,17.0,0.22077922077922077,0.03896103896103896,1.3529411764705883
19,IWM-gauge-17,IWM-gauge-120,17.0,17.0,0.21794871794871795,0.01282051282051282,0.8125
20,IWM-gauge-17,IWM-gauge-121,15.0,15.0,0.19607843137254902,0.032679738562091505,0.4666666666666667
21,IWM-gauge-17,IWM-gauge-122,15.0,14.0,0.18831168831168832,0.0,-0.26666666666666666
22,IWM-gauge-17,IWM-gauge-123,16.0,16.0,0.2222222222222222,-0.041666666666666664,-0.75
23,IWM-gauge-17,IWM-gauge-124,16.0,15.0,0.2246376811594203,-0.007246376811594203,-0.8125
24,IWM-gauge-17,IWM-gauge-125,15.0,15.0,0.2,0.0,0.0
25,IWM-gauge-17,IWM-gauge-130,19.0,19.0,0.1735159817351598,0.0091324200913242,0.7894736842105263
26,IWM-gauge-17,IWM-gauge-134,28.0,28.0,0.2692307692307692,0.0625,1.9285714285714286
27,IWM-gauge-17,IWM-gauge-135,21.0,20.0,0.205,0.005,0.0
28,IWM-gauge-17,IWM-gauge-138,14.0,14.0,0.14583333333333334,0.015625,0.35714285714285715
29,IWM-gauge-17,IWM-gauge-139,18.0,18.0,0.18090452261306533,-0.010050251256281407,-0.05555555555555555
30,IWM-gauge-17,IWM-gauge-142,21.0,21.0,0.1990521327014218,-0.004739336492890996,0.15
31,IWM-gauge-17,IWM-gauge-143,16.0,16.0,0.15384615384615385,0.014423076923076924,0.0625
32,IWM-gauge-17,IWM-gauge-147,16.0,16.0,0.16326530612244897,-0.01020408163265306,-0.3125
33,IWM-gauge-17,IWM-gauge-149,10.0,10.0,0.09950248756218906,-0.009950248756218905,-1.0
34,IWM-gauge-17,IWM-gauge-152,21.0,21.0,0.20388349514563106,0.014563106796116505,0.3333333333333333
35,IWM-gauge-17,IWM-gauge-153,19.0,18.0,0.1796116504854369,-0.019417475728155338,-1.2777777777777777
36,IWM-gauge-17,IWM-gauge-155,22.0,22.0,0.2,0.01818181818181818,0.6363636363636364
37,IWM-gauge-17,IWM-gauge-158,19.0,19.0,0.18009478672985782,0.009478672985781991,0.3157894736842105
38,IWM-gauge-17,IWM-gauge-164,12.0,12.0,0.16,-0.04666666666666667,-1.6666666666666667
39,IWM-gauge-17,IWM-gauge-196,11.0,11.0,0.11518324607329843,0.020942408376963352,1.5454545454545454
40,IWM-gauge-17,IWM-gauge-198,14.0,14.0,0.1564245810055866,-0.0111731843575419,0.07142857142857142
41,IWM-gauge-17,IWM-gauge-281,9.0,9.0,0.0962566844919786,-0.0053475935828877,0.4444444444444444
42,IWM-gauge-17,IWM-gauge-301,7.0,7.0,0.09210526315789473,-0.02631578947368421,-1.7142857142857142
43,IWM-gauge-17,IWM-gauge-302,6.0,6.0,0.0718562874251497,0.0,1.1666666666666667
44,IWM-gauge-17,IWM-gauge-303,16.0,16.0,0.2119205298013245,0.0,0.4375
45,IWM-gauge-17,IWM-gauge-305,22.0,22.0,0.21674876847290642,-0.0049261083743842365,0.6363636363636364
46,IWM-gauge-17,IWM-gauge-308,22.0,22.0,0.2,-0.00909090909090909,-0.36363636363636365
47,IWM-gauge-17,IWM-gauge-309,19.0,19.0,0.17674418604651163,0.013953488372093023,0.42105263157894735
48,IWM-gauge-17,IWM-gauge-315,22.0,22.0,0.2,-0.00909090909090909,-0.36363636363636365
49,IWM-gauge-17,IWM-gauge-317,18.0,18.0,0.17391304347826086,0.0,0.11764705882352941
50,IWM-gauge-17,IWM-gauge-318,15.0,15.0,0.15873015873015872,0.037037037037037035,1.7333333333333334
51,IWM-gauge-17,IWM-gauge-320,20.0,20.0,0.31746031746031744,0.031746031746031744,0.3
52,IWM-gauge-17,IWM-gauge-323,17.0,17.0,0.34,0.04,1.1176470588235294
53,IWM-gauge-17,IWM-gauge-324,30.0,30.0,0.2843601895734597,-0.03317535545023697,-0.26666666666666666
54,IWM-gauge-17,IWM-gauge-326,26.0,26.0,0.22033898305084745,-0.00847457627118644,0.07692307692307693
55,IWM-gauge-17,IWM-gauge-345,17.0,17.0,0.2833333333333333,0.058333333333333334,0.9411764705882353
56,IWM-gauge-17,IWM-gauge-349,10.0,10.0,0.11627906976744186,0.05232558139534884,3.8
57,IWM-gauge-17,IWM-gauge-354,33.0,32.0,0.28634361233480177,-0.01762114537444934,-0.40625
58,IWM-gauge-17,IWM-gauge-360,38.0,37.0,0.3605769230769231,-0.057692307692307696,-1.3157894736842106
59,IWM-gauge-17,IWM-gauge-363,28.0,28.0,0.27184466019417475,0.014563106796116505,0.21428571428571427
60,IWM-gauge-17,IWM-gauge-364,13.0,13.0,0.13471502590673576,0.0051813471502590676,0.23076923076923078
61,IWM-gauge-17,IWM-gauge-369,28.0,28.0,0.27586206896551724,0.019704433497536946,0.42857142857142855
62,IWM-gauge-17,IWM-gauge-376,34.0,34.0,0.33170731707317075,0.01951219512195122,0.4117647058823529
63,IWM-gauge-17,IWM-gauge-380,33.0,32.0,0.28888888888888886,-0.04888888888888889,-0.8484848484848485
64,IWM-gauge-17,IWM-gauge-391,30.0,30.0,0.28169014084507044,0.023474178403755867,0.3
65,IWM-gauge-17,IWM-gauge-394,41.0,41.0,0.35344827586206895,-0.04310344827586207,-0.7804878048780488
66,IWM-gauge-17,IWM-gauge-396,13.0,13.0,0.14444444444444443,0.005555555555555556,0.46153846153846156
67,IWM-gauge-17,IWM-gauge-407,16.0,16.0,0.17204301075268819,0.03763440860215054,2.3125
68,IWM-gauge-17,IWM-gauge-410,17.0,16.0,0.16176470588235295,0.0,-0.17647058823529413
69,IWM-gauge-17,IWM-gauge-411,31.0,31.0,0.2605042016806723,0.008403361344537815,0.41935483870967744
70,IWM-gauge-17,IWM-gauge-412,17.0,17.0,0.1837837837837838,0.02702702702702703,0.4117647058823529
71,IWM-gauge-17,IWM-gauge-414,22.0,22.0,0.21052631578947367,0.0,0.3181818181818182
72,IWM-gauge-17,IWM-gauge-420,15.0,15.0,0.15463917525773196,0.015463917525773196,0.4666666666666667
73,IWM-gauge-17,IWM-gauge-423,32.0,32.0,0.26229508196721313,0.0,-0.40625
74,IWM-gauge-17,IWM-gauge-425,20.0,20.0,0.18604651162790697,-0.004651162790697674,-0.55
75,IWM-gauge-17,IWM-gauge-427,18.0,18.0,0.17391304347826086,0.0,0.05555555555555555
76,IWM-gauge-17,IWM-gauge-428,29.0,29.0,0.2577777777777778,0.013333333333333334,0.4827586206896552
77,IWM-gauge-17,IWM-gauge-429,29.0,29.0,0.25217391304347825,0.030434782608695653,0.7241379310344828
78,IWM-gauge-17,IWM-gauge-430,20.0,20.0,0.17699115044247787,0.004424778761061947,0.15
79,IWM-gauge-17,IWM-gauge-431,28.0,28.0,0.25112107623318386,0.0,0.42857142857142855
80,IWM-gauge-17,IWM-gauge-438,29.0,29.0,0.25327510917030566,0.03056768558951965,0.7241379310344828
81,IWM-gauge-17,IWM-gauge-440,26.0,26.0,0.21666666666666667,-0.008333333333333333,-0.5769230769230769
82,IWM-gauge-17,IWM-gauge-441,20.0,20.0,0.2127659574468085,0.047872340425531915,1.3
83,IWM-gauge-17,IWM-gauge-446,20.0,20.0,0.18604651162790697,-0.004651162790697674,-0.55
84,IWM-gauge-17,IWM-gauge-455,18.0,18.0,0.18652849740932642,-0.010362694300518135,-0.7222222222222222
85,IWM-gauge-17,IWM-gauge-463,14.0,14.0,0.13592233009708737,0.0,0.2857142857142857
86,IWM-gauge-17,IWM-gauge-472,21.0,21.0,0.21212121212121213,-0.010101010101010102,-0.85
87,IWM-gauge-17,IWM-gauge-473,16.0,16.0,0.1641025641025641,-0.03076923076923077,-0.5
88,IWM-gauge-17,IWM-gauge-475,9.0,9.0,0.12857142857142856,0.014285714285714285,0.7777777777777778
89,IWM-gauge-17,IWM-gauge-486,16.0,16.0,0.1641025641025641,-0.03076923076923077,-0.5
90,IWM-gauge-17,IWM-gauge-490,18.0,18.0,0.17307692307692307,-0.019230769230769232,-1.2222222222222223
91,IWM-gauge-17,IWM-gauge-491,20.0,20.0,0.2094240837696335,0.005235602094240838,0.6
92,IWM-gauge-17,IWM-gauge-494,22.0,22.0,0.21890547263681592,0.014925373134328358,0.42857142857142855
93,IWM-gauge-17,IWM-gauge-503,12.0,12.0,0.15483870967741936,0.0,0.75
94,IWM-gauge-17,IWM-gauge-504,15.0,15.0,0.19607843137254902,0.013071895424836602,-0.2
95,IWM-gauge-17,IWM-gauge-505,17.0,17.0,0.16831683168316833,0.01485148514851485,0.7058823529411765
96,IWM-gauge-17,IWM-gauge-506,10.0,10.0,0.1388888888888889,-0.034722222222222224,-1.7
97,IWM-gauge-17,IWM-gauge-507,15.0,15.0,0.19736842105263158,-0.05921052631578947,-1.8666666666666667
98,IWM-gauge-17,IWM-gauge-508,14.0,14.0,0.2014388489208633,0.0,0.35714285714285715
99,IWM-gauge-17,IWM-gauge-510,10.0,10.0,0.14084507042253522,0.02112676056338028,0.5
100,IWM-gauge-17,IWM-gauge-511,11.0,11.0,0.14285714285714285,-0.012987012987012988,-0.6363636363636364
101,IWM-gauge-17,IWM-gauge-512,14.0,14.0,0.1830065359477124,0.006535947712418301,0.2857142857142857
102,IWM-gauge-17,IWM-gauge-514,13.0,13.0,0.1319796954314721,-0.005076142131979695,-0.6153846153846154
103,IWM-gauge-17,IWM-gauge-515,8.0,8.0,0.10738255033557047,0.0,0.25
104,IWM-gauge-17,IWM-gauge-516,20.0,20.0,0.19138755980861244,0.004784688995215311,-0.1
105,IWM-gauge-17,IWM-gauge-517,19.0,19.0,0.18627450980392157,-0.014705882352941176,-1.0555555555555556
106,IWM-gauge-17,IWM-gauge-526,15.0,15.0,0.15625,0.0,0.6
107,IWM-gauge-17,IWM-gauge-527,10.0,10.0,0.1360544217687075,-0.013605442176870748,0.4
