,x,y,S_yx,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,124.0,124.0,1.0333333333333334,0.0,-0.008333333333333333
1,IWM-gauge-17,IWM-gauge-27,51.0,52.0,0.43829787234042555,0.00851063829787234,-0.23529411764705882
2,IWM-gauge-17,IWM-gauge-29,46.0,45.0,0.4117647058823529,0.058823529411764705,0.6976744186046512
3,IWM-gauge-17,IWM-gauge-32,52.0,52.0,0.4,0.04230769230769231,0.5102040816326531
4,IWM-gauge-17,IWM-gauge-36,23.0,24.0,0.34814814814814815,0.0962962962962963,2.5454545454545454
5,IWM-gauge-17,IWM-gauge-40,49.0,46.0,0.39915966386554624,-0.02100840336134454,-0.5
6,IWM-gauge-17,IWM-gauge-54,38.0,38.0,0.304,0.032,0.08108108108108109
7,IWM-gauge-17,IWM-gauge-57,76.0,77.0,0.6652173913043479,0.07391304347826087,0.5
8,IWM-gauge-17,IWM-gauge-60,42.0,41.0,0.3346774193548387,0.04838709677419355,0.7560975609756098
9,IWM-gauge-17,IWM-gauge-68,46.0,46.0,0.37551020408163266,0.09387755102040816,1.6590909090909092
10,IWM-gauge-17,IWM-gauge-108,20.0,20.0,0.24691358024691357,-0.012345679012345678,-0.47368421052631576
11,IWM-gauge-17,IWM-gauge-109,22.0,22.0,0.19555555555555557,0.008888888888888889,0.36363636363636365
12,IWM-gauge-17,IWM-gauge-110,27.0,27.0,0.31952662721893493,-0.011834319526627219,-0.625
13,IWM-gauge-17,IWM-gauge-113,24.0,23.0,0.27011494252873564,0.034482758620689655,0.782608695652174
14,IWM-gauge-17,IWM-gauge-114,18.0,18.0,0.20809248554913296,0.0,0.0
15,IWM-gauge-17,IWM-gauge-115,25.0,25.0,0.2857142857142857,0.017142857142857144,0.13043478260869565
16,IWM-gauge-17,IWM-gauge-116,25.0,26.0,0.2982456140350877,0.011695906432748537,-0.08333333333333333
17,IWM-gauge-17,IWM-gauge-117,28.0,26.0,0.2887700534759358,-0.0213903743315508,-0.9615384615384616
18,IWM-gauge-17,IWM-gauge-119,21.0,21.0,0.2413793103448276,0.04597701149425287,1.4761904761904763
19,IWM-gauge-17,IWM-gauge-120,22.0,22.0,0.24858757062146894,0.01694915254237288,0.45
20,IWM-gauge-17,IWM-gauge-121,21.0,21.0,0.23204419889502761,0.055248618784530384,1.0952380952380953
21,IWM-gauge-17,IWM-gauge-122,21.0,19.0,0.22988505747126436,0.022988505747126436,0.2631578947368421
22,IWM-gauge-17,IWM-gauge-123,19.0,19.0,0.2345679012345679,-0.030864197530864196,-0.5789473684210527
