,x,y,sum_x,S_yx,sum_y,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,115.0,115.0,115.0,115.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,114.0,50.0,110.0,49.0,0.4419642857142857,0.04225352112676056,-0.16
2,IWM-gauge-17,IWM-gauge-29,115.0,41.0,94.0,41.0,0.3923444976076555,0.14893617021276595,0.1951219512195122
3,IWM-gauge-17,IWM-gauge-32,115.0,46.0,123.0,46.0,0.3865546218487395,0.16981132075471697,0.7608695652173914
4,IWM-gauge-17,IWM-gauge-36,68.0,24.0,55.0,24.0,0.3902439024390244,0.46153846153846156,2.5454545454545454
5,IWM-gauge-27,IWM-gauge-27,167.0,167.0,167.0,167.0,1.0,0.0,0.0
6,IWM-gauge-27,IWM-gauge-29,167.0,81.0,165.0,81.0,0.4879518072289157,0.18181818181818182,0.8395061728395061
7,IWM-gauge-27,IWM-gauge-32,167.0,87.0,172.0,87.0,0.5132743362831859,0.12195121951219512,0.5862068965517241
8,IWM-gauge-27,IWM-gauge-36,105.0,32.0,107.0,32.0,0.3018867924528302,0.10526315789473684,0.22580645161290322
9,IWM-gauge-29,IWM-gauge-29,165.0,165.0,165.0,165.0,1.0,0.0,0.0
10,IWM-gauge-29,IWM-gauge-32,165.0,100.0,175.0,100.0,0.5882352941176471,0.0273972602739726,-0.030612244897959183
11,IWM-gauge-29,IWM-gauge-36,116.0,40.0,107.0,40.0,0.35874439461883406,-0.06382978723404255,-0.20512820512820512
12,IWM-gauge-32,IWM-gauge-32,194.0,194.0,194.0,194.0,1.0,0.0,0.0
13,IWM-gauge-32,IWM-gauge-36,105.0,32.0,107.0,32.0,0.3018867924528302,0.16666666666666666,0.8125
14,IWM-gauge-36,IWM-gauge-36,107.0,107.0,107.0,107.0,1.0,0.0,0.0
