,x,y,S_yx,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,42.0,42.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,6.0,6.0,0.21428571428571427,-0.03571428571428571,-1.0
2,IWM-gauge-17,IWM-gauge-29,10.0,10.0,0.14925373134328357,-0.007462686567164179,-0.2
3,IWM-gauge-17,IWM-gauge-32,14.0,14.0,0.3333333333333333,-0.023809523809523808,-0.42857142857142855
4,IWM-gauge-17,IWM-gauge-36,2.0,2.0,0.0975609756097561,0.0,1.5
5,IWM-gauge-17,IWM-gauge-40,6.0,6.0,0.15789473684210525,-0.05263157894736842,-1.6666666666666667
6,IWM-gauge-17,IWM-gauge-54,12.0,12.0,0.26666666666666666,0.022222222222222223,0.8333333333333334
7,IWM-gauge-17,IWM-gauge-57,30.0,30.0,0.7228915662650602,-0.060240963855421686,-0.3333333333333333
8,IWM-gauge-17,IWM-gauge-60,7.0,7.0,0.2222222222222222,0.015873015873015872,0.2857142857142857
9,IWM-gauge-17,IWM-gauge-68,4.0,4.0,0.10810810810810811,0.0,0.25
10,IWM-gauge-17,IWM-gauge-108,5.0,5.0,0.10752688172043011,-0.03225806451612903,-3.6
11,IWM-gauge-17,IWM-gauge-109,3.0,3.0,0.06451612903225806,0.010752688172043012,2.0
12,IWM-gauge-17,IWM-gauge-110,3.0,3.0,0.15384615384615385,-0.07692307692307693,-3.6666666666666665
13,IWM-gauge-17,IWM-gauge-113,0.0,0.0,0.0,0.0,
14,IWM-gauge-17,IWM-gauge-114,4.0,4.0,0.14545454545454545,0.03636363636363636,0.0
15,IWM-gauge-17,IWM-gauge-115,1.0,1.0,0.0392156862745098,-0.0196078431372549,-3.0
16,IWM-gauge-17,IWM-gauge-116,0.0,0.0,0.0,0.0,
17,IWM-gauge-17,IWM-gauge-117,4.0,4.0,0.13333333333333333,-0.03333333333333333,-1.5
18,IWM-gauge-17,IWM-gauge-119,5.0,5.0,0.15151515151515152,-0.045454545454545456,-2.0
19,IWM-gauge-17,IWM-gauge-120,2.0,2.0,0.07142857142857142,0.017857142857142856,1.5
20,IWM-gauge-17,IWM-gauge-121,5.0,5.0,0.15873015873015872,-0.015873015873015872,-1.2
21,IWM-gauge-17,IWM-gauge-122,1.0,1.0,0.05,0.025,1.0
22,IWM-gauge-17,IWM-gauge-123,5.0,5.0,0.14492753623188406,-0.028985507246376812,-1.4
23,IWM-gauge-17,IWM-gauge-124,0.0,0.0,0.0,0.0,
24,IWM-gauge-17,IWM-gauge-125,2.0,2.0,0.07692307692307693,0.0,-1.0
25,IWM-gauge-17,IWM-gauge-130,5.0,5.0,0.11904761904761904,0.03571428571428571,2.2
26,IWM-gauge-17,IWM-gauge-134,9.0,9.0,0.20689655172413793,0.05747126436781609,2.888888888888889
27,IWM-gauge-17,IWM-gauge-135,6.0,6.0,0.12,0.04,1.6666666666666667
28,IWM-gauge-17,IWM-gauge-138,4.0,4.0,0.09302325581395349,0.023255813953488372,1.5
29,IWM-gauge-17,IWM-gauge-139,4.0,4.0,0.09411764705882353,0.023529411764705882,1.75
30,IWM-gauge-17,IWM-gauge-142,6.0,6.0,0.12244897959183673,0.061224489795918366,2.1666666666666665
31,IWM-gauge-17,IWM-gauge-143,6.0,6.0,0.12903225806451613,0.021505376344086023,0.8333333333333334
32,IWM-gauge-17,IWM-gauge-147,3.0,3.0,0.09836065573770492,0.01639344262295082,1.3333333333333333
33,IWM-gauge-17,IWM-gauge-149,5.0,5.0,0.07692307692307693,0.0,0.6
34,IWM-gauge-17,IWM-gauge-152,5.0,5.0,0.11235955056179775,0.02247191011235955,1.2
35,IWM-gauge-17,IWM-gauge-153,4.0,4.0,0.0784313725490196,0.029411764705882353,2.5
36,IWM-gauge-17,IWM-gauge-155,6.0,6.0,0.12121212121212122,0.020202020202020204,1.0
37,IWM-gauge-17,IWM-gauge-158,5.0,5.0,0.11494252873563218,0.05747126436781609,3.0
38,IWM-gauge-17,IWM-gauge-164,3.0,3.0,0.08450704225352113,0.0,0.3333333333333333
39,IWM-gauge-17,IWM-gauge-196,3.0,3.0,0.07894736842105263,0.013157894736842105,2.6666666666666665
40,IWM-gauge-17,IWM-gauge-198,5.0,5.0,0.11627906976744186,0.03488372093023256,1.8
41,IWM-gauge-17,IWM-gauge-281,7.0,7.0,0.14736842105263157,0.021052631578947368,0.5714285714285714
42,IWM-gauge-17,IWM-gauge-301,2.0,2.0,0.07692307692307693,0.019230769230769232,1.5
43,IWM-gauge-17,IWM-gauge-302,3.0,3.0,0.08333333333333333,-0.041666666666666664,-1.6666666666666667
44,IWM-gauge-17,IWM-gauge-303,5.0,5.0,0.13513513513513514,0.0,-0.2
45,IWM-gauge-17,IWM-gauge-305,5.0,5.0,0.12987012987012986,0.025974025974025976,1.4
46,IWM-gauge-17,IWM-gauge-308,7.0,7.0,0.14285714285714285,0.07142857142857142,4.142857142857143
47,IWM-gauge-17,IWM-gauge-309,6.0,6.0,0.1276595744680851,0.06382978723404255,4.166666666666667
48,IWM-gauge-17,IWM-gauge-315,8.0,8.0,0.1553398058252427,0.05825242718446602,3.125
49,IWM-gauge-17,IWM-gauge-317,5.0,5.0,0.10638297872340426,0.0,-0.6
50,IWM-gauge-17,IWM-gauge-318,7.0,7.0,0.14736842105263157,0.06315789473684211,3.7142857142857144
51,IWM-gauge-17,IWM-gauge-320,3.0,3.0,0.2,0.03333333333333333,0.6666666666666666
52,IWM-gauge-17,IWM-gauge-323,3.0,3.0,0.15,-0.05,-1.6666666666666667
53,IWM-gauge-17,IWM-gauge-324,3.0,3.0,0.075,0.025,3.0
54,IWM-gauge-17,IWM-gauge-326,3.0,3.0,0.07692307692307693,0.038461538461538464,4.333333333333333
55,IWM-gauge-17,IWM-gauge-345,7.0,7.0,0.3181818181818182,0.06818181818181818,1.0
56,IWM-gauge-17,IWM-gauge-349,5.0,5.0,0.1111111111111111,0.03333333333333333,2.8
57,IWM-gauge-17,IWM-gauge-354,2.0,2.0,0.056338028169014086,0.028169014084507043,4.0
58,IWM-gauge-17,IWM-gauge-360,3.0,3.0,0.07792207792207792,0.03896103896103896,5.333333333333333
59,IWM-gauge-17,IWM-gauge-363,17.0,17.0,0.40963855421686746,-0.060240963855421686,-0.9375
60,IWM-gauge-17,IWM-gauge-364,4.0,4.0,0.0963855421686747,0.024096385542168676,2.25
61,IWM-gauge-17,IWM-gauge-369,1.0,1.0,0.027777777777777776,0.013888888888888888,4.0
62,IWM-gauge-17,IWM-gauge-376,3.0,3.0,0.0967741935483871,0.016129032258064516,1.0
63,IWM-gauge-17,IWM-gauge-380,2.0,2.0,0.05194805194805195,0.012987012987012988,3.0
64,IWM-gauge-17,IWM-gauge-391,8.0,8.0,0.25806451612903225,0.0967741935483871,2.375
65,IWM-gauge-17,IWM-gauge-394,6.0,6.0,0.16,-0.02666666666666667,-0.6666666666666666
66,IWM-gauge-17,IWM-gauge-396,8.0,8.0,0.14953271028037382,0.018691588785046728,0.625
67,IWM-gauge-17,IWM-gauge-407,6.0,6.0,0.12631578947368421,0.0,0.16666666666666666
68,IWM-gauge-17,IWM-gauge-410,3.0,3.0,0.08450704225352113,0.028169014084507043,3.0
69,IWM-gauge-17,IWM-gauge-411,6.0,6.0,0.12244897959183673,0.01020408163265306,0.6666666666666666
70,IWM-gauge-17,IWM-gauge-412,8.0,8.0,0.1391304347826087,0.034782608695652174,1.375
71,IWM-gauge-17,IWM-gauge-414,4.0,4.0,0.09523809523809523,-0.011904761904761904,-0.5
72,IWM-gauge-17,IWM-gauge-420,5.0,5.0,0.12345679012345678,0.012345679012345678,2.0
73,IWM-gauge-17,IWM-gauge-423,12.0,12.0,0.21238938053097345,-0.008849557522123894,0.16666666666666666
74,IWM-gauge-17,IWM-gauge-425,8.0,8.0,0.16494845360824742,0.010309278350515464,0.25
75,IWM-gauge-17,IWM-gauge-427,10.0,10.0,0.18691588785046728,0.0,-0.3
76,IWM-gauge-17,IWM-gauge-428,9.0,9.0,0.17307692307692307,-0.009615384615384616,-0.5555555555555556
77,IWM-gauge-17,IWM-gauge-429,9.0,9.0,0.18181818181818182,0.010101010101010102,0.2222222222222222
78,IWM-gauge-17,IWM-gauge-430,8.0,8.0,0.18604651162790697,0.011627906976744186,0.875
79,IWM-gauge-17,IWM-gauge-431,9.0,9.0,0.1782178217821782,0.009900990099009901,1.1111111111111112
80,IWM-gauge-17,IWM-gauge-438,9.0,9.0,0.1875,0.03125,1.0
81,IWM-gauge-17,IWM-gauge-440,5.0,5.0,0.11627906976744186,0.05813953488372093,3.2
