,x,y,sum_x,S_yx,sum_y,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,42.0,42.0,42.0,42.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,42.0,7.0,14.0,7.0,0.25,-0.2727272727272727,-1.8571428571428572
2,IWM-gauge-17,IWM-gauge-29,42.0,10.0,92.0,10.0,0.14925373134328357,-0.07692307692307693,-0.2
3,IWM-gauge-17,IWM-gauge-32,42.0,14.0,42.0,14.0,0.3333333333333333,-0.125,-0.42857142857142855
4,IWM-gauge-17,IWM-gauge-36,24.0,2.0,17.0,2.0,0.0975609756097561,0.0,1.5
5,IWM-gauge-17,IWM-gauge-40,42.0,6.0,34.0,6.0,0.15789473684210525,-0.5,-1.6666666666666667
6,IWM-gauge-17,IWM-gauge-54,42.0,13.0,48.0,13.0,0.28888888888888886,0.2,1.3076923076923077
7,IWM-gauge-17,IWM-gauge-57,42.0,32.0,41.0,31.0,0.7590361445783133,-0.08,-0.3125
8,IWM-gauge-17,IWM-gauge-60,42.0,9.0,21.0,9.0,0.2857142857142857,0.3333333333333333,1.7777777777777777
9,IWM-gauge-17,IWM-gauge-68,42.0,5.0,32.0,5.0,0.13513513513513514,0.2,1.6
10,IWM-gauge-17,IWM-gauge-108,29.0,6.0,64.0,6.0,0.12903225806451613,-0.3333333333333333,-1.8333333333333333
11,IWM-gauge-17,IWM-gauge-109,40.0,3.0,53.0,3.0,0.06451612903225806,0.3333333333333333,2.0
12,IWM-gauge-17,IWM-gauge-110,26.0,4.0,13.0,4.0,0.20512820512820512,-1.0,-4.5
13,IWM-gauge-17,IWM-gauge-113,35.0,0.0,5.0,0.0,0.0,,
14,IWM-gauge-17,IWM-gauge-114,35.0,5.0,20.0,5.0,0.18181818181818182,0.2,-1.4
15,IWM-gauge-17,IWM-gauge-115,35.0,2.0,16.0,2.0,0.0784313725490196,-1.0,-5.0
16,IWM-gauge-17,IWM-gauge-116,35.0,0.0,7.0,0.0,0.0,,
17,IWM-gauge-17,IWM-gauge-117,35.0,4.0,25.0,4.0,0.13333333333333333,-0.5,-1.5
18,IWM-gauge-17,IWM-gauge-119,35.0,5.0,31.0,5.0,0.15151515151515152,-0.6,-2.0
19,IWM-gauge-17,IWM-gauge-120,35.0,4.0,21.0,4.0,0.14285714285714285,-0.2,-2.75
20,IWM-gauge-17,IWM-gauge-121,35.0,5.0,28.0,5.0,0.15873015873015872,-0.2,-1.2
21,IWM-gauge-17,IWM-gauge-122,35.0,1.0,5.0,1.0,0.05,1.0,1.0
22,IWM-gauge-17,IWM-gauge-123,35.0,5.0,34.0,5.0,0.14492753623188406,-0.3333333333333333,-1.4
23,IWM-gauge-17,IWM-gauge-124,32.0,0.0,9.0,0.0,0.0,,
24,IWM-gauge-17,IWM-gauge-125,35.0,2.0,17.0,2.0,0.07692307692307693,0.0,-1.0
25,IWM-gauge-17,IWM-gauge-130,42.0,6.0,42.0,6.0,0.14285714285714285,0.6666666666666666,3.0
26,IWM-gauge-17,IWM-gauge-134,42.0,10.0,45.0,10.0,0.22988505747126436,0.6,3.3
27,IWM-gauge-17,IWM-gauge-135,42.0,6.0,58.0,6.0,0.12,0.6666666666666666,1.6666666666666667
28,IWM-gauge-17,IWM-gauge-138,42.0,6.0,44.0,6.0,0.13953488372093023,0.6666666666666666,3.3333333333333335
29,IWM-gauge-17,IWM-gauge-139,42.0,5.0,43.0,5.0,0.11764705882352941,0.6,2.8
30,IWM-gauge-17,IWM-gauge-142,42.0,7.0,56.0,7.0,0.14285714285714285,1.0,2.857142857142857
31,IWM-gauge-17,IWM-gauge-143,42.0,6.0,51.0,6.0,0.12903225806451613,0.3333333333333333,0.8333333333333334
32,IWM-gauge-17,IWM-gauge-147,42.0,3.0,19.0,3.0,0.09836065573770492,0.3333333333333333,1.3333333333333333
33,IWM-gauge-17,IWM-gauge-149,42.0,6.0,88.0,6.0,0.09230769230769231,0.14285714285714285,1.6666666666666667
34,IWM-gauge-17,IWM-gauge-152,42.0,6.0,47.0,6.0,0.1348314606741573,0.42857142857142855,2.1666666666666665
35,IWM-gauge-17,IWM-gauge-153,42.0,5.0,60.0,5.0,0.09803921568627451,0.6666666666666666,3.4
36,IWM-gauge-17,IWM-gauge-155,42.0,6.0,57.0,6.0,0.12121212121212122,0.3333333333333333,1.0
37,IWM-gauge-17,IWM-gauge-158,42.0,6.0,45.0,6.0,0.13793103448275862,1.0,3.6666666666666665
38,IWM-gauge-17,IWM-gauge-164,36.0,3.0,35.0,3.0,0.08450704225352113,0.0,0.3333333333333333
39,IWM-gauge-17,IWM-gauge-196,42.0,4.0,34.0,4.0,0.10526315789473684,0.5,3.75
40,IWM-gauge-17,IWM-gauge-198,39.0,6.0,47.0,6.0,0.13953488372093023,0.3333333333333333,0.3333333333333333
41,IWM-gauge-17,IWM-gauge-281,42.0,8.0,53.0,8.0,0.16842105263157894,0.3333333333333333,1.375
42,IWM-gauge-17,IWM-gauge-301,36.0,2.0,16.0,2.0,0.07692307692307693,0.3333333333333333,1.5
43,IWM-gauge-17,IWM-gauge-302,36.0,3.0,36.0,3.0,0.08333333333333333,-1.0,-1.6666666666666667
44,IWM-gauge-17,IWM-gauge-303,36.0,5.0,38.0,5.0,0.13513513513513514,0.0,-0.2
