,x,y,S_yx,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,46.0,46.0,1.0454545454545454,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,7.0,7.0,0.2413793103448276,-0.05172413793103448,-1.7142857142857142
2,IWM-gauge-17,IWM-gauge-29,11.0,11.0,0.16058394160583941,-0.014598540145985401,-0.36363636363636365
3,IWM-gauge-17,IWM-gauge-32,17.0,15.0,0.35555555555555557,-0.022222222222222223,-0.4
4,IWM-gauge-17,IWM-gauge-36,2.0,2.0,0.09523809523809523,0.0,1.5
5,IWM-gauge-17,IWM-gauge-40,9.0,9.0,0.21176470588235294,-0.058823529411764705,-1.3333333333333333
6,IWM-gauge-17,IWM-gauge-54,13.0,14.0,0.28421052631578947,0.021052631578947368,0.5
7,IWM-gauge-17,IWM-gauge-57,32.0,32.0,0.7529411764705882,-0.08235294117647059,-0.53125
8,IWM-gauge-17,IWM-gauge-60,7.0,7.0,0.20588235294117646,0.014705882352941176,0.2857142857142857
9,IWM-gauge-17,IWM-gauge-68,4.0,4.0,0.10126582278481013,0.0,0.25
10,IWM-gauge-17,IWM-gauge-108,5.0,5.0,0.10101010101010101,-0.030303030303030304,-3.6
11,IWM-gauge-17,IWM-gauge-109,3.0,4.0,0.07291666666666667,0.010416666666666666,1.75
12,IWM-gauge-17,IWM-gauge-110,3.0,3.0,0.14285714285714285,-0.07142857142857142,-3.6666666666666665
13,IWM-gauge-17,IWM-gauge-113,0.0,0.0,0.0,0.0,
14,IWM-gauge-17,IWM-gauge-114,5.0,5.0,0.1724137931034483,0.05172413793103448,0.8
15,IWM-gauge-17,IWM-gauge-115,1.0,1.0,0.03773584905660377,-0.018867924528301886,-3.0
16,IWM-gauge-17,IWM-gauge-116,0.0,0.0,0.0,0.0,
17,IWM-gauge-17,IWM-gauge-117,4.0,4.0,0.12698412698412698,-0.031746031746031744,-1.5
18,IWM-gauge-17,IWM-gauge-119,5.0,5.0,0.12987012987012986,-0.03896103896103896,-2.0
19,IWM-gauge-17,IWM-gauge-120,2.0,2.0,0.06557377049180328,0.01639344262295082,1.5
20,IWM-gauge-17,IWM-gauge-121,5.0,5.0,0.14925373134328357,-0.014925373134328358,-1.2
21,IWM-gauge-17,IWM-gauge-122,2.0,2.0,0.09090909090909091,0.022727272727272728,0.5
