,x,y,sum_x,S_yx,sum_y,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,44.0,46.0,44.0,46.0,1.0454545454545454,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,44.0,8.0,14.0,8.0,0.27586206896551724,-0.3333333333333333,-2.375
2,IWM-gauge-17,IWM-gauge-29,44.0,12.0,93.0,12.0,0.17518248175182483,-0.06666666666666667,0.25
3,IWM-gauge-17,IWM-gauge-32,44.0,17.0,46.0,15.0,0.35555555555555557,-0.1111111111111111,-0.4
4,IWM-gauge-17,IWM-gauge-36,24.0,2.0,18.0,2.0,0.09523809523809523,0.0,1.5
5,IWM-gauge-17,IWM-gauge-40,44.0,9.0,41.0,9.0,0.21176470588235294,-0.45454545454545453,-1.3333333333333333
6,IWM-gauge-17,IWM-gauge-54,44.0,14.0,51.0,15.0,0.30526315789473685,0.17647058823529413,0.9333333333333333
7,IWM-gauge-17,IWM-gauge-57,44.0,34.0,41.0,33.0,0.788235294117647,-0.11538461538461539,-0.5
8,IWM-gauge-17,IWM-gauge-60,44.0,9.0,24.0,9.0,0.2647058823529412,0.3333333333333333,1.7777777777777777
9,IWM-gauge-17,IWM-gauge-68,44.0,5.0,35.0,5.0,0.12658227848101267,0.2,1.6
10,IWM-gauge-17,IWM-gauge-108,31.0,6.0,68.0,6.0,0.12121212121212122,-0.3333333333333333,-1.8333333333333333
11,IWM-gauge-17,IWM-gauge-109,42.0,3.0,54.0,4.0,0.07291666666666667,0.3333333333333333,1.75
12,IWM-gauge-17,IWM-gauge-110,28.0,4.0,14.0,4.0,0.19047619047619047,-1.0,-4.5
13,IWM-gauge-17,IWM-gauge-113,37.0,0.0,5.0,0.0,0.0,,
14,IWM-gauge-17,IWM-gauge-114,37.0,6.0,21.0,6.0,0.20689655172413793,0.3333333333333333,-0.5
15,IWM-gauge-17,IWM-gauge-115,37.0,3.0,16.0,3.0,0.11320754716981132,-0.3333333333333333,-1.0
16,IWM-gauge-17,IWM-gauge-116,37.0,0.0,7.0,0.0,0.0,,
17,IWM-gauge-17,IWM-gauge-117,37.0,5.0,26.0,5.0,0.15873015873015872,-0.2,0.2
18,IWM-gauge-17,IWM-gauge-119,37.0,5.0,40.0,5.0,0.12987012987012986,-0.6,-2.0
19,IWM-gauge-17,IWM-gauge-120,37.0,4.0,24.0,4.0,0.13114754098360656,-0.2,-2.75
20,IWM-gauge-17,IWM-gauge-121,37.0,6.0,30.0,7.0,0.19402985074626866,-0.14285714285714285,-0.8571428571428571
21,IWM-gauge-17,IWM-gauge-122,37.0,2.0,7.0,2.0,0.09090909090909091,0.3333333333333333,0.5
22,IWM-gauge-17,IWM-gauge-123,37.0,6.0,36.0,7.0,0.1780821917808219,-0.25,-0.6666666666666666
23,IWM-gauge-17,IWM-gauge-124,33.0,1.0,10.0,1.0,0.046511627906976744,1.0,1.0
24,IWM-gauge-17,IWM-gauge-125,37.0,2.0,19.0,2.0,0.07142857142857142,0.0,-1.0
25,IWM-gauge-17,IWM-gauge-130,44.0,6.0,43.0,6.0,0.13793103448275862,0.6666666666666666,3.0
26,IWM-gauge-17,IWM-gauge-134,44.0,13.0,52.0,13.0,0.2708333333333333,0.5384615384615384,2.8461538461538463
27,IWM-gauge-17,IWM-gauge-135,44.0,8.0,64.0,8.0,0.14814814814814814,0.5,1.0
28,IWM-gauge-17,IWM-gauge-138,44.0,6.0,47.0,6.0,0.13186813186813187,0.6666666666666666,3.3333333333333335
29,IWM-gauge-17,IWM-gauge-139,44.0,5.0,46.0,5.0,0.1111111111111111,0.6,2.8
30,IWM-gauge-17,IWM-gauge-142,44.0,8.0,63.0,8.0,0.14953271028037382,0.75,2.0
31,IWM-gauge-17,IWM-gauge-143,44.0,7.0,58.0,6.0,0.12745098039215685,0.3333333333333333,1.1666666666666667
32,IWM-gauge-17,IWM-gauge-147,44.0,3.0,22.0,3.0,0.09090909090909091,0.3333333333333333,1.3333333333333333
33,IWM-gauge-17,IWM-gauge-149,44.0,7.0,92.0,7.0,0.10294117647058823,0.25,2.4285714285714284
34,IWM-gauge-17,IWM-gauge-152,44.0,6.0,56.0,6.0,0.12,0.42857142857142855,2.1666666666666665
35,IWM-gauge-17,IWM-gauge-153,44.0,6.0,75.0,8.0,0.11764705882352941,0.42857142857142855,1.875
36,IWM-gauge-17,IWM-gauge-155,44.0,8.0,63.0,8.0,0.14953271028037382,0.25,0.75
37,IWM-gauge-17,IWM-gauge-158,44.0,7.0,52.0,7.0,0.14583333333333334,0.7142857142857143,2.7142857142857144
38,IWM-gauge-17,IWM-gauge-164,38.0,4.0,36.0,4.0,0.10810810810810811,-0.2,-0.25
39,IWM-gauge-17,IWM-gauge-196,44.0,4.0,35.0,4.0,0.10126582278481013,0.5,3.75
40,IWM-gauge-17,IWM-gauge-198,41.0,8.0,56.0,8.0,0.16494845360824742,0.25,0.14285714285714285
41,IWM-gauge-17,IWM-gauge-281,44.0,9.0,59.0,8.0,0.1650485436893204,0.4,1.5
42,IWM-gauge-17,IWM-gauge-301,38.0,4.0,20.0,5.0,0.15517241379310345,0.2,0.0
43,IWM-gauge-17,IWM-gauge-302,38.0,5.0,39.0,6.0,0.14285714285714285,-0.7142857142857143,-2.1666666666666665
44,IWM-gauge-17,IWM-gauge-303,38.0,7.0,44.0,7.0,0.17073170731707318,0.0,-0.5714285714285714
45,IWM-gauge-17,IWM-gauge-305,42.0,7.0,44.0,6.0,0.1511627906976744,0.42857142857142855,2.6666666666666665
46,IWM-gauge-17,IWM-gauge-308,44.0,8.0,62.0,8.0,0.1509433962264151,0.75,2.875
