,x,y,S_yx,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,13.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,1.0,0.14285714285714285,-0.07142857142857142,-3.0
2,IWM-gauge-17,IWM-gauge-29,5.0,0.2564102564102564,0.10256410256410256,2.2
3,IWM-gauge-17,IWM-gauge-32,7.0,0.5,0.03571428571428571,-0.42857142857142855
4,IWM-gauge-17,IWM-gauge-36,1.0,0.14285714285714285,0.07142857142857142,2.0
5,IWM-gauge-17,IWM-gauge-40,3.0,0.2222222222222222,-0.1111111111111111,-2.0
6,IWM-gauge-17,IWM-gauge-54,4.0,0.27586206896551724,0.0,-0.25
7,IWM-gauge-17,IWM-gauge-57,10.0,0.7407407407407407,-0.14814814814814814,-0.6
8,IWM-gauge-17,IWM-gauge-60,3.0,0.2857142857142857,0.047619047619047616,0.3333333333333333
9,IWM-gauge-17,IWM-gauge-68,1.0,0.1,0.05,2.0
10,IWM-gauge-17,IWM-gauge-108,1.0,0.06666666666666667,0.03333333333333333,5.0
11,IWM-gauge-17,IWM-gauge-109,2.0,0.10810810810810811,0.0,0.0
12,IWM-gauge-17,IWM-gauge-110,1.0,0.16666666666666666,0.08333333333333333,3.0
13,IWM-gauge-17,IWM-gauge-113,0.0,0.0,0.0,
14,IWM-gauge-17,IWM-gauge-114,2.0,0.18181818181818182,0.0,0.0
15,IWM-gauge-17,IWM-gauge-115,1.0,0.125,-0.0625,-3.0
16,IWM-gauge-17,IWM-gauge-116,1.0,0.125,-0.0625,-1.0
17,IWM-gauge-17,IWM-gauge-117,1.0,0.10526315789473684,0.05263157894736842,4.0
18,IWM-gauge-17,IWM-gauge-119,2.0,0.18181818181818182,-0.09090909090909091,-1.5
19,IWM-gauge-17,IWM-gauge-120,1.0,0.10526315789473684,0.0,0.0
20,IWM-gauge-17,IWM-gauge-121,4.0,0.2962962962962963,-0.07407407407407407,-1.5
21,IWM-gauge-17,IWM-gauge-122,1.0,0.125,-0.0625,-2.0
22,IWM-gauge-17,IWM-gauge-123,1.0,0.1,0.05,3.0
23,IWM-gauge-17,IWM-gauge-124,0.0,0.0,0.0,
24,IWM-gauge-17,IWM-gauge-125,2.0,0.23529411764705882,0.0,0.0
25,IWM-gauge-17,IWM-gauge-130,1.0,0.08695652173913043,0.043478260869565216,3.0
26,IWM-gauge-17,IWM-gauge-134,1.0,0.09523809523809523,0.047619047619047616,1.0
27,IWM-gauge-17,IWM-gauge-135,2.0,0.18181818181818182,0.09090909090909091,2.0
28,IWM-gauge-17,IWM-gauge-138,3.0,0.3,0.15,2.6666666666666665
29,IWM-gauge-17,IWM-gauge-139,3.0,0.3,0.15,2.6666666666666665
30,IWM-gauge-17,IWM-gauge-142,2.0,0.18181818181818182,0.09090909090909091,2.0
31,IWM-gauge-17,IWM-gauge-143,3.0,0.24,0.04,0.3333333333333333
32,IWM-gauge-17,IWM-gauge-147,4.0,0.3333333333333333,0.0,1.0
33,IWM-gauge-17,IWM-gauge-149,2.0,0.1,-0.025,-0.5
34,IWM-gauge-17,IWM-gauge-152,2.0,0.17391304347826086,0.08695652173913043,2.5
35,IWM-gauge-17,IWM-gauge-153,3.0,0.2222222222222222,0.0,-1.6666666666666667
36,IWM-gauge-17,IWM-gauge-155,3.0,0.2727272727272727,-0.045454545454545456,-1.0
37,IWM-gauge-17,IWM-gauge-158,3.0,0.2857142857142857,0.14285714285714285,2.3333333333333335
38,IWM-gauge-17,IWM-gauge-164,2.0,0.15384615384615385,0.07692307692307693,6.0
39,IWM-gauge-17,IWM-gauge-196,1.0,0.125,-0.0625,-3.0
40,IWM-gauge-17,IWM-gauge-198,0.0,0.0,0.0,
41,IWM-gauge-17,IWM-gauge-281,4.0,0.32,-0.04,-0.75
42,IWM-gauge-17,IWM-gauge-301,0.0,0.0,0.0,
43,IWM-gauge-17,IWM-gauge-302,1.0,0.125,0.0625,3.0
44,IWM-gauge-17,IWM-gauge-303,0.0,0.0,0.0,
45,IWM-gauge-17,IWM-gauge-305,4.0,0.32,0.16,2.25
