,x,y,sum_x,S_yx,sum_y,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,48.0,51.0,48.0,51.0,1.0625,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,48.0,9.0,15.0,9.0,0.2857142857142857,-0.38461538461538464,-2.4444444444444446
2,IWM-gauge-17,IWM-gauge-29,48.0,18.0,102.0,18.0,0.24,0.09090909090909091,0.5
3,IWM-gauge-17,IWM-gauge-32,48.0,22.0,51.0,20.0,0.42424242424242425,-0.08333333333333333,-0.631578947368421
4,IWM-gauge-17,IWM-gauge-36,28.0,3.0,19.0,3.0,0.1276595744680851,0.3333333333333333,1.6666666666666667
5,IWM-gauge-17,IWM-gauge-40,48.0,11.0,42.0,11.0,0.24444444444444444,-0.5384615384615384,-1.2727272727272727
6,IWM-gauge-17,IWM-gauge-54,48.0,18.0,56.0,19.0,0.3557692307692308,0.23809523809523808,0.8947368421052632
7,IWM-gauge-17,IWM-gauge-57,48.0,43.0,49.0,39.0,0.845360824742268,-0.11475409836065574,-0.5128205128205128
8,IWM-gauge-17,IWM-gauge-60,48.0,12.0,26.0,11.0,0.3108108108108108,0.5,1.9
9,IWM-gauge-17,IWM-gauge-68,48.0,7.0,41.0,7.0,0.15730337078651685,0.42857142857142855,1.7142857142857142
10,IWM-gauge-17,IWM-gauge-108,35.0,8.0,76.0,8.0,0.14414414414414414,0.0,0.0
11,IWM-gauge-17,IWM-gauge-109,46.0,5.0,64.0,6.0,0.1,0.2,1.3333333333333333
12,IWM-gauge-17,IWM-gauge-110,30.0,5.0,21.0,5.0,0.19607843137254902,-0.6,-3.0
13,IWM-gauge-17,IWM-gauge-113,41.0,1.0,10.0,1.0,0.0392156862745098,1.0,5.0
14,IWM-gauge-17,IWM-gauge-114,41.0,7.0,26.0,7.0,0.208955223880597,0.14285714285714285,-1.0
15,IWM-gauge-17,IWM-gauge-115,41.0,4.0,17.0,4.0,0.13793103448275862,-0.5,-1.5
16,IWM-gauge-17,IWM-gauge-116,41.0,1.0,9.0,1.0,0.04,-1.0,-1.0
17,IWM-gauge-17,IWM-gauge-117,41.0,7.0,30.0,7.0,0.19718309859154928,0.14285714285714285,1.2857142857142858
18,IWM-gauge-17,IWM-gauge-119,41.0,5.0,44.0,5.0,0.11764705882352941,-0.6,-2.0
19,IWM-gauge-17,IWM-gauge-120,41.0,5.0,29.0,4.0,0.12857142857142856,0.0,-2.75
20,IWM-gauge-17,IWM-gauge-121,41.0,13.0,43.0,14.0,0.32142857142857145,0.0,-0.07142857142857142
21,IWM-gauge-17,IWM-gauge-122,41.0,4.0,10.0,4.0,0.1568627450980392,0.2,1.25
22,IWM-gauge-17,IWM-gauge-123,41.0,8.0,41.0,9.0,0.2073170731707317,0.0,0.25
23,IWM-gauge-17,IWM-gauge-124,37.0,1.0,10.0,1.0,0.0425531914893617,1.0,1.0
24,IWM-gauge-17,IWM-gauge-125,41.0,4.0,22.0,4.0,0.12698412698412698,0.0,0.25
25,IWM-gauge-17,IWM-gauge-130,48.0,7.0,51.0,7.0,0.1414141414141414,0.7142857142857143,3.0
26,IWM-gauge-17,IWM-gauge-134,48.0,14.0,56.0,14.0,0.2692307692307692,0.5714285714285714,2.9285714285714284
27,IWM-gauge-17,IWM-gauge-135,48.0,9.0,72.0,9.0,0.15,0.5555555555555556,1.2222222222222223
28,IWM-gauge-17,IWM-gauge-138,48.0,9.0,53.0,9.0,0.1782178217821782,0.7777777777777778,2.888888888888889
29,IWM-gauge-17,IWM-gauge-139,48.0,8.0,52.0,8.0,0.16,0.75,2.5
30,IWM-gauge-17,IWM-gauge-142,48.0,10.0,69.0,10.0,0.17094017094017094,0.6363636363636364,1.8
31,IWM-gauge-17,IWM-gauge-143,48.0,10.0,68.0,9.0,0.16379310344827586,0.3333333333333333,0.8888888888888888
32,IWM-gauge-17,IWM-gauge-147,48.0,7.0,32.0,7.0,0.175,0.14285714285714285,0.7142857142857143
33,IWM-gauge-17,IWM-gauge-149,48.0,8.0,111.0,8.0,0.10062893081761007,0.3333333333333333,3.0
34,IWM-gauge-17,IWM-gauge-152,48.0,8.0,63.0,8.0,0.14414414414414414,0.5555555555555556,2.25
35,IWM-gauge-17,IWM-gauge-153,48.0,9.0,86.0,11.0,0.14925373134328357,0.2727272727272727,1.0
36,IWM-gauge-17,IWM-gauge-155,48.0,10.0,68.0,10.0,0.1724137931034483,0.2,0.7
37,IWM-gauge-17,IWM-gauge-158,48.0,9.0,58.0,9.0,0.16981132075471697,0.6,2.3333333333333335
38,IWM-gauge-17,IWM-gauge-164,42.0,6.0,42.0,6.0,0.14285714285714285,0.14285714285714285,1.8333333333333333
39,IWM-gauge-17,IWM-gauge-196,48.0,5.0,38.0,5.0,0.11627906976744186,0.2,2.4
40,IWM-gauge-17,IWM-gauge-198,45.0,8.0,59.0,8.0,0.15384615384615385,0.25,0.14285714285714285
41,IWM-gauge-17,IWM-gauge-281,48.0,14.0,71.0,12.0,0.2184873949579832,0.3333333333333333,1.25
42,IWM-gauge-17,IWM-gauge-301,42.0,6.0,21.0,7.0,0.20634920634920634,0.42857142857142855,1.5
43,IWM-gauge-17,IWM-gauge-302,42.0,6.0,41.0,7.0,0.1566265060240964,-0.5,-1.4285714285714286
44,IWM-gauge-17,IWM-gauge-303,42.0,8.0,44.0,8.0,0.18604651162790697,0.09090909090909091,-0.125
45,IWM-gauge-17,IWM-gauge-305,46.0,11.0,51.0,10.0,0.21649484536082475,0.6363636363636364,2.5
46,IWM-gauge-17,IWM-gauge-308,48.0,10.0,69.0,10.0,0.17094017094017094,0.4,1.7
47,IWM-gauge-17,IWM-gauge-309,48.0,9.0,69.0,9.0,0.15384615384615385,0.7777777777777778,3.2222222222222223
48,IWM-gauge-17,IWM-gauge-315,48.0,8.0,70.0,8.0,0.13559322033898305,0.75,3.125
49,IWM-gauge-17,IWM-gauge-317,48.0,10.0,68.0,10.0,0.1724137931034483,0.2727272727272727,0.8888888888888888
50,IWM-gauge-17,IWM-gauge-318,48.0,11.0,76.0,10.0,0.1693548387096774,0.42857142857142855,2.2
51,IWM-gauge-17,IWM-gauge-320,29.0,5.0,6.0,5.0,0.2857142857142857,0.14285714285714285,1.0
52,IWM-gauge-17,IWM-gauge-323,25.0,5.0,21.0,4.0,0.1956521739130435,-0.3333333333333333,-2.25
53,IWM-gauge-17,IWM-gauge-324,48.0,8.0,51.0,9.0,0.1717171717171717,0.3333333333333333,2.0
54,IWM-gauge-17,IWM-gauge-326,48.0,9.0,49.0,9.0,0.18556701030927836,0.0,1.0
55,IWM-gauge-17,IWM-gauge-345,29.0,11.0,23.0,9.0,0.38461538461538464,0.42857142857142855,1.4444444444444444
56,IWM-gauge-17,IWM-gauge-349,48.0,11.0,69.0,11.0,0.18803418803418803,0.09090909090909091,0.5
57,IWM-gauge-17,IWM-gauge-354,48.0,6.0,37.0,6.0,0.1411764705882353,0.3333333333333333,2.0
58,IWM-gauge-17,IWM-gauge-360,48.0,10.0,55.0,10.0,0.1941747572815534,0.2727272727272727,1.3333333333333333
59,IWM-gauge-17,IWM-gauge-363,46.0,25.0,54.0,25.0,0.5,-0.10344827586206896,-1.0
60,IWM-gauge-17,IWM-gauge-364,48.0,9.0,62.0,9.0,0.16363636363636364,0.2,1.0
61,IWM-gauge-17,IWM-gauge-369,48.0,3.0,42.0,3.0,0.06666666666666667,0.3333333333333333,2.3333333333333335
62,IWM-gauge-17,IWM-gauge-376,48.0,8.0,34.0,8.0,0.1951219512195122,0.3333333333333333,1.5
63,IWM-gauge-17,IWM-gauge-380,48.0,7.0,50.0,7.0,0.14285714285714285,0.0,-0.5
64,IWM-gauge-17,IWM-gauge-391,48.0,11.0,25.0,10.0,0.2876712328767123,0.6363636363636364,2.0
65,IWM-gauge-17,IWM-gauge-394,48.0,6.0,40.0,6.0,0.13636363636363635,-0.3333333333333333,-0.6666666666666666
66,IWM-gauge-17,IWM-gauge-396,47.0,14.0,94.0,13.0,0.19148936170212766,0.0,-0.5384615384615384
67,IWM-gauge-17,IWM-gauge-407,48.0,12.0,77.0,13.0,0.2,-0.23076923076923078,-0.8181818181818182
68,IWM-gauge-17,IWM-gauge-410,48.0,8.0,48.0,8.0,0.16666666666666666,-0.2,0.0
69,IWM-gauge-17,IWM-gauge-411,48.0,10.0,70.0,10.0,0.1694915254237288,-0.09090909090909091,-0.5
70,IWM-gauge-17,IWM-gauge-412,48.0,16.0,92.0,15.0,0.22142857142857142,0.125,0.2
71,IWM-gauge-17,IWM-gauge-414,48.0,14.0,67.0,12.0,0.22608695652173913,-0.06666666666666667,-0.08333333333333333
72,IWM-gauge-17,IWM-gauge-420,48.0,11.0,60.0,11.0,0.2037037037037037,-0.2727272727272727,-0.7272727272727273
73,IWM-gauge-17,IWM-gauge-423,48.0,15.0,77.0,15.0,0.24,-0.125,-0.06666666666666667
74,IWM-gauge-17,IWM-gauge-425,48.0,12.0,58.0,12.0,0.22641509433962265,0.07692307692307693,0.5
75,IWM-gauge-17,IWM-gauge-427,48.0,13.0,82.0,13.0,0.2,-0.23076923076923078,-1.2307692307692308
76,IWM-gauge-17,IWM-gauge-428,48.0,11.0,76.0,11.0,0.1774193548387097,-0.2727272727272727,-0.9090909090909091
77,IWM-gauge-17,IWM-gauge-429,48.0,11.0,60.0,10.0,0.19444444444444445,0.09090909090909091,0.2
78,IWM-gauge-17,IWM-gauge-430,48.0,14.0,62.0,14.0,0.2545454545454545,-0.06666666666666667,0.46153846153846156
79,IWM-gauge-17,IWM-gauge-431,48.0,12.0,80.0,12.0,0.1875,0.0,0.6666666666666666
80,IWM-gauge-17,IWM-gauge-438,48.0,14.0,68.0,14.0,0.2413793103448276,-0.14285714285714285,-0.7857142857142857
81,IWM-gauge-17,IWM-gauge-440,48.0,7.0,48.0,7.0,0.14583333333333334,0.42857142857142855,1.0
82,IWM-gauge-17,IWM-gauge-441,48.0,10.0,71.0,10.0,0.16806722689075632,0.09090909090909091,1.7
83,IWM-gauge-17,IWM-gauge-446,48.0,8.0,58.0,7.0,0.14150943396226415,0.3333333333333333,1.8571428571428572
84,IWM-gauge-17,IWM-gauge-455,48.0,3.0,51.0,3.0,0.06060606060606061,0.3333333333333333,2.3333333333333335
85,IWM-gauge-17,IWM-gauge-463,48.0,1.0,51.0,1.0,0.020202020202020204,-1.0,-3.0
86,IWM-gauge-17,IWM-gauge-472,48.0,2.0,54.0,2.0,0.0392156862745098,0.0,1.0
87,IWM-gauge-17,IWM-gauge-473,48.0,9.0,95.0,9.0,0.1258741258741259,0.2,1.3333333333333333
88,IWM-gauge-17,IWM-gauge-475,41.0,2.0,23.0,2.0,0.0625,-0.3333333333333333,-1.5
