,x,y,sum_x,S_yx,sum_y,S_xy,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,120.0,124.0,120.0,124.0,1.0333333333333334,0.0,-0.008333333333333333
1,IWM-gauge-17,IWM-gauge-27,119.0,56.0,114.0,55.0,0.47639484978540775,0.0379746835443038,-0.32727272727272727
2,IWM-gauge-17,IWM-gauge-29,120.0,48.0,99.0,48.0,0.4383561643835616,0.18518518518518517,0.391304347826087
3,IWM-gauge-17,IWM-gauge-32,120.0,54.0,132.0,53.0,0.4246031746031746,0.22580645161290322,0.8
4,IWM-gauge-17,IWM-gauge-36,71.0,25.0,58.0,26.0,0.3953488372093023,0.48148148148148145,2.608695652173913
5,IWM-gauge-27,IWM-gauge-27,177.0,183.0,177.0,183.0,1.0338983050847457,0.0,-0.01694915254237288
6,IWM-gauge-27,IWM-gauge-29,177.0,90.0,174.0,91.0,0.5156695156695157,0.14049586776859505,0.5909090909090909
7,IWM-gauge-27,IWM-gauge-32,177.0,101.0,185.0,98.0,0.5497237569060773,0.1510791366906475,0.6304347826086957
8,IWM-gauge-27,IWM-gauge-36,111.0,33.0,112.0,34.0,0.3004484304932735,0.1282051282051282,0.3125
9,IWM-gauge-29,IWM-gauge-29,174.0,180.0,174.0,180.0,1.0344827586206897,0.0,-0.005747126436781609
10,IWM-gauge-29,IWM-gauge-32,174.0,112.0,188.0,111.0,0.6160220994475138,0.05660377358490566,0.07766990291262135
11,IWM-gauge-29,IWM-gauge-36,121.0,45.0,112.0,46.0,0.3905579399141631,-0.09433962264150944,-0.5609756097560976
12,IWM-gauge-32,IWM-gauge-32,208.0,221.0,208.0,221.0,1.0625,0.0,-0.014423076923076924
13,IWM-gauge-32,IWM-gauge-36,112.0,35.0,112.0,38.0,0.32589285714285715,0.2,0.972972972972973
14,IWM-gauge-36,IWM-gauge-36,112.0,116.0,112.0,116.0,1.0357142857142858,0.0,-0.026785714285714284
