,x,y,S_yx,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,28.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,13.0,0.4482758620689655,0.017241379310344827,-0.15384615384615385
2,IWM-gauge-17,IWM-gauge-29,13.0,0.4482758620689655,0.017241379310344827,0.46153846153846156
3,IWM-gauge-17,IWM-gauge-32,10.0,0.31746031746031744,0.047619047619047616,1.6
4,IWM-gauge-17,IWM-gauge-36,3.0,0.23076923076923078,0.07692307692307693,1.0
5,IWM-gauge-17,IWM-gauge-40,5.0,0.19230769230769232,-0.019230769230769232,-0.4
6,IWM-gauge-17,IWM-gauge-54,9.0,0.3103448275862069,0.05172413793103448,0.4444444444444444
7,IWM-gauge-17,IWM-gauge-57,18.0,0.6545454545454545,0.0,0.0
8,IWM-gauge-17,IWM-gauge-60,11.0,0.36065573770491804,0.03278688524590164,-0.09090909090909091
9,IWM-gauge-17,IWM-gauge-68,9.0,0.3157894736842105,0.08771929824561403,1.7777777777777777
10,IWM-gauge-17,IWM-gauge-108,8.0,0.4,-0.025,-0.125
11,IWM-gauge-17,IWM-gauge-109,8.0,0.3137254901960784,-0.058823529411764705,-1.625
12,IWM-gauge-17,IWM-gauge-110,6.0,0.3157894736842105,-0.07894736842105263,-1.8333333333333333
13,IWM-gauge-17,IWM-gauge-113,4.0,0.23529411764705882,0.0,-0.75
14,IWM-gauge-17,IWM-gauge-114,2.0,0.10810810810810811,0.0,-1.5
15,IWM-gauge-17,IWM-gauge-115,3.0,0.17647058823529413,-0.029411764705882353,-3.0
16,IWM-gauge-17,IWM-gauge-116,7.0,0.4,-0.08571428571428572,-2.8333333333333335
17,IWM-gauge-17,IWM-gauge-117,4.0,0.22857142857142856,-0.08571428571428572,-4.0
18,IWM-gauge-17,IWM-gauge-119,2.0,0.11428571428571428,0.0,0.0
19,IWM-gauge-17,IWM-gauge-120,3.0,0.1875,0.03125,1.3333333333333333
20,IWM-gauge-17,IWM-gauge-121,4.0,0.2222222222222222,0.0,-1.25
21,IWM-gauge-17,IWM-gauge-122,7.0,0.3783783783783784,0.02702702702702703,-0.42857142857142855
22,IWM-gauge-17,IWM-gauge-123,2.0,0.125,-0.0625,-5.0
23,IWM-gauge-17,IWM-gauge-124,5.0,0.2857142857142857,-0.08571428571428572,-3.2
24,IWM-gauge-17,IWM-gauge-125,3.0,0.18181818181818182,-0.030303030303030304,-3.0
25,IWM-gauge-17,IWM-gauge-130,7.0,0.24561403508771928,0.05263157894736842,1.0
26,IWM-gauge-17,IWM-gauge-134,6.0,0.2553191489361702,0.0851063829787234,2.0
