,x,y,S_yx,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,13.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,3.0,0.375,-0.0625,-1.0
2,IWM-gauge-17,IWM-gauge-29,1.0,0.05263157894736842,0.02631578947368421,5.0
3,IWM-gauge-17,IWM-gauge-32,2.0,0.19047619047619047,-0.09523809523809523,-2.0
4,IWM-gauge-17,IWM-gauge-36,0.0,0.0,0.0,
5,IWM-gauge-17,IWM-gauge-40,2.0,0.2222222222222222,-0.1111111111111111,-2.0
6,IWM-gauge-17,IWM-gauge-54,3.0,0.25,0.041666666666666664,1.0
7,IWM-gauge-17,IWM-gauge-57,10.0,0.8333333333333334,-0.125,-0.4
8,IWM-gauge-17,IWM-gauge-60,1.0,0.11764705882352941,0.0,0.0
9,IWM-gauge-17,IWM-gauge-68,1.0,0.08,0.04,4.0
10,IWM-gauge-17,IWM-gauge-108,2.0,0.12903225806451613,0.03225806451612903,1.5
11,IWM-gauge-17,IWM-gauge-109,2.0,0.13333333333333333,0.03333333333333333,3.0
12,IWM-gauge-17,IWM-gauge-110,0.0,0.0,0.0,
13,IWM-gauge-17,IWM-gauge-113,0.0,0.0,0.0,
14,IWM-gauge-17,IWM-gauge-114,1.0,0.1111111111111111,-0.05555555555555555,-3.0
15,IWM-gauge-17,IWM-gauge-115,0.0,0.0,0.0,
16,IWM-gauge-17,IWM-gauge-116,0.0,0.0,0.0,
17,IWM-gauge-17,IWM-gauge-117,1.0,0.13333333333333333,-0.06666666666666667,-3.0
18,IWM-gauge-17,IWM-gauge-119,1.0,0.10526315789473684,-0.05263157894736842,-4.0
19,IWM-gauge-17,IWM-gauge-120,0.0,0.0,0.0,
20,IWM-gauge-17,IWM-gauge-121,2.0,0.17391304347826086,-0.08695652173913043,-3.5
21,IWM-gauge-17,IWM-gauge-122,1.0,0.14285714285714285,0.07142857142857142,1.0
22,IWM-gauge-17,IWM-gauge-123,0.0,0.0,0.0,
23,IWM-gauge-17,IWM-gauge-124,0.0,0.0,0.0,
24,IWM-gauge-17,IWM-gauge-125,0.0,0.0,0.0,
25,IWM-gauge-17,IWM-gauge-130,0.0,0.0,0.0,
26,IWM-gauge-17,IWM-gauge-134,0.0,0.0,0.0,
27,IWM-gauge-17,IWM-gauge-135,2.0,0.15384615384615385,-0.038461538461538464,-0.5
28,IWM-gauge-17,IWM-gauge-138,2.0,0.16666666666666666,0.08333333333333333,2.5
29,IWM-gauge-17,IWM-gauge-139,2.0,0.17391304347826086,0.0,-2.0
30,IWM-gauge-17,IWM-gauge-142,2.0,0.14285714285714285,0.07142857142857142,1.0
31,IWM-gauge-17,IWM-gauge-143,1.0,0.07142857142857142,0.03571428571428571,1.0
32,IWM-gauge-17,IWM-gauge-147,2.0,0.23529411764705882,0.0,0.5
33,IWM-gauge-17,IWM-gauge-149,3.0,0.14634146341463414,0.024390243902439025,1.0
34,IWM-gauge-17,IWM-gauge-152,1.0,0.06896551724137931,0.034482758620689655,3.0
35,IWM-gauge-17,IWM-gauge-153,2.0,0.14285714285714285,-0.03571428571428571,-1.5
36,IWM-gauge-17,IWM-gauge-155,2.0,0.13333333333333333,0.0,0.0
37,IWM-gauge-17,IWM-gauge-158,2.0,0.14285714285714285,0.07142857142857142,2.0
38,IWM-gauge-17,IWM-gauge-164,0.0,0.0,0.0,
39,IWM-gauge-17,IWM-gauge-196,0.0,0.0,0.0,
40,IWM-gauge-17,IWM-gauge-198,1.0,0.08333333333333333,0.0,0.0
41,IWM-gauge-17,IWM-gauge-281,1.0,0.08,0.04,3.0
42,IWM-gauge-17,IWM-gauge-301,0.0,0.0,0.0,
43,IWM-gauge-17,IWM-gauge-302,0.0,0.0,0.0,
44,IWM-gauge-17,IWM-gauge-303,1.0,0.1,-0.05,-5.0
45,IWM-gauge-17,IWM-gauge-305,4.0,0.3333333333333333,0.125,1.5
46,IWM-gauge-17,IWM-gauge-308,3.0,0.2727272727272727,0.13636363636363635,3.3333333333333335
47,IWM-gauge-17,IWM-gauge-309,4.0,0.3076923076923077,0.07692307692307693,1.75
48,IWM-gauge-17,IWM-gauge-315,4.0,0.2962962962962963,0.037037037037037035,1.5
49,IWM-gauge-17,IWM-gauge-317,4.0,0.3333333333333333,0.041666666666666664,1.5
50,IWM-gauge-17,IWM-gauge-318,2.0,0.14814814814814814,0.037037037037037035,0.5
51,IWM-gauge-17,IWM-gauge-320,0.0,0.0,0.0,
52,IWM-gauge-17,IWM-gauge-323,1.0,0.2222222222222222,-0.1111111111111111,-4.0
53,IWM-gauge-17,IWM-gauge-324,1.0,0.08,0.04,2.0
54,IWM-gauge-17,IWM-gauge-326,2.0,0.14285714285714285,0.0,0.5
55,IWM-gauge-17,IWM-gauge-345,0.0,0.0,0.0,
56,IWM-gauge-17,IWM-gauge-349,1.0,0.09090909090909091,-0.045454545454545456,-3.0
57,IWM-gauge-17,IWM-gauge-354,0.0,0.0,0.0,
58,IWM-gauge-17,IWM-gauge-360,1.0,0.08333333333333333,0.041666666666666664,4.0
59,IWM-gauge-17,IWM-gauge-363,7.0,0.5833333333333334,-0.08333333333333333,-0.5714285714285714
60,IWM-gauge-17,IWM-gauge-364,1.0,0.08,0.04,2.0
61,IWM-gauge-17,IWM-gauge-369,2.0,0.16,0.0,1.0
62,IWM-gauge-17,IWM-gauge-376,1.0,0.1,-0.05,-4.0
63,IWM-gauge-17,IWM-gauge-380,1.0,0.08333333333333333,0.0,0.0
64,IWM-gauge-17,IWM-gauge-391,2.0,0.25,0.0,0.0
65,IWM-gauge-17,IWM-gauge-394,2.0,0.17391304347826086,0.0,2.0
66,IWM-gauge-17,IWM-gauge-396,3.0,0.2,0.03333333333333333,-0.6666666666666666
67,IWM-gauge-17,IWM-gauge-407,1.0,0.07692307692307693,0.0,0.0
68,IWM-gauge-17,IWM-gauge-410,0.0,0.0,0.0,
69,IWM-gauge-17,IWM-gauge-411,1.0,0.06896551724137931,-0.034482758620689655,-2.0
70,IWM-gauge-17,IWM-gauge-412,1.0,0.06060606060606061,-0.030303030303030304,-2.0
71,IWM-gauge-17,IWM-gauge-414,2.0,0.15384615384615385,-0.07692307692307693,-2.5
72,IWM-gauge-17,IWM-gauge-420,4.0,0.27586206896551724,0.0,0.5
73,IWM-gauge-17,IWM-gauge-423,5.0,0.2777777777777778,-0.08333333333333333,-1.0
74,IWM-gauge-17,IWM-gauge-425,0.0,0.0,0.0,
75,IWM-gauge-17,IWM-gauge-427,2.0,0.13333333333333333,0.0,0.5
76,IWM-gauge-17,IWM-gauge-428,1.0,0.0625,-0.03125,-3.0
77,IWM-gauge-17,IWM-gauge-429,4.0,0.2222222222222222,-0.05555555555555555,-1.0
78,IWM-gauge-17,IWM-gauge-430,3.0,0.2,-0.03333333333333333,-1.3333333333333333
79,IWM-gauge-17,IWM-gauge-431,3.0,0.20689655172413793,-0.06896551724137931,-1.0
80,IWM-gauge-17,IWM-gauge-438,1.0,0.07407407407407407,-0.037037037037037035,-3.0
81,IWM-gauge-17,IWM-gauge-440,3.0,0.1875,0.03125,0.3333333333333333
82,IWM-gauge-17,IWM-gauge-441,1.0,0.07142857142857142,-0.03571428571428571,-2.0
83,IWM-gauge-17,IWM-gauge-446,2.0,0.13333333333333333,0.06666666666666667,4.5
84,IWM-gauge-17,IWM-gauge-455,0.0,0.0,0.0,
85,IWM-gauge-17,IWM-gauge-463,2.0,0.17391304347826086,0.043478260869565216,3.0
86,IWM-gauge-17,IWM-gauge-472,1.0,0.09090909090909091,0.045454545454545456,6.0
