,x,y,S_yx,ES,Directionality,Delay
0,IWM-gauge-17,IWM-gauge-17,14.0,1.0,0.0,0.0
1,IWM-gauge-17,IWM-gauge-27,3.0,0.3157894736842105,-0.05263157894736842,-1.0
2,IWM-gauge-17,IWM-gauge-29,8.0,0.3902439024390244,0.0,0.625
3,IWM-gauge-17,IWM-gauge-32,7.0,0.5384615384615384,0.0,0.42857142857142855
4,IWM-gauge-17,IWM-gauge-36,0.0,0.0,0.0,
5,IWM-gauge-17,IWM-gauge-40,1.0,0.09090909090909091,-0.045454545454545456,-4.0
6,IWM-gauge-17,IWM-gauge-54,6.0,0.41379310344827586,0.06896551724137931,-0.5
7,IWM-gauge-17,IWM-gauge-57,9.0,0.6428571428571429,-0.10714285714285714,-1.2222222222222223
8,IWM-gauge-17,IWM-gauge-60,3.0,0.3,0.05,0.6666666666666666
9,IWM-gauge-17,IWM-gauge-68,1.0,0.08333333333333333,0.041666666666666664,6.0
10,IWM-gauge-17,IWM-gauge-108,0.0,0.0,0.0,
11,IWM-gauge-17,IWM-gauge-109,2.0,0.16666666666666666,0.08333333333333333,3.5
12,IWM-gauge-17,IWM-gauge-110,1.0,0.13333333333333333,-0.06666666666666667,-2.0
13,IWM-gauge-17,IWM-gauge-113,0.0,0.0,0.0,
14,IWM-gauge-17,IWM-gauge-114,2.0,0.2222222222222222,0.0,0.0
15,IWM-gauge-17,IWM-gauge-115,1.0,0.10526315789473684,-0.05263157894736842,-3.0
16,IWM-gauge-17,IWM-gauge-116,1.0,0.13333333333333333,-0.06666666666666667,-2.0
17,IWM-gauge-17,IWM-gauge-117,2.0,0.18181818181818182,0.0,1.0
18,IWM-gauge-17,IWM-gauge-119,2.0,0.19047619047619047,0.0,-0.5
19,IWM-gauge-17,IWM-gauge-120,2.0,0.21052631578947367,-0.10526315789473684,-1.0
20,IWM-gauge-17,IWM-gauge-121,1.0,0.11764705882352941,0.058823529411764705,6.0
21,IWM-gauge-17,IWM-gauge-122,0.0,0.0,0.0,
22,IWM-gauge-17,IWM-gauge-123,2.0,0.16666666666666666,0.0,2.0
23,IWM-gauge-17,IWM-gauge-124,0.0,0.0,0.0,
24,IWM-gauge-17,IWM-gauge-125,1.0,0.10526315789473684,-0.05263157894736842,-2.0
25,IWM-gauge-17,IWM-gauge-130,1.0,0.08,0.04,4.0
26,IWM-gauge-17,IWM-gauge-134,4.0,0.25806451612903225,0.12903225806451613,5.0
27,IWM-gauge-17,IWM-gauge-135,3.0,0.20689655172413793,0.034482758620689655,0.6666666666666666
28,IWM-gauge-17,IWM-gauge-138,2.0,0.15384615384615385,0.07692307692307693,5.0
