,1970-01-01,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01
IWM-gauge-4,,,,,,,,,,,,,,,,,,,,,,3,2,4,5,4,3,1,2,2,2,2,1,2,1,4,4,5,4,4,3,3,2,3,1,1,,,,
IWM-gauge-17,,,,,,,,,,,,,,,,,,,,,2,3,3,4,4,4,4,2,4,4,5,3,3,3,3,5,5,5,4,4,3,3,3,3,2,2,3,,,
IWM-gauge-27,,,4,5,5,6,5,6,3,4,4,5,3,1,1,2,4,5,4,2,0,1,1,1,1,2,4,5,5,4,2,1,0,1,1,3,2,2,0,0,0,0,0,0,0,,,,,
IWM-gauge-29,,,,4,2,2,3,4,4,3,3,4,5,4,3,1,2,2,3,4,5,6,5,3,2,2,3,3,4,4,3,1,1,3,4,6,5,6,6,6,4,2,2,3,2,2,2,,,
IWM-gauge-32,3,4,3,4,2,2,2,4,5,5,4,4,5,4,3,1,2,2,3,3,4,5,5,3,2,2,4,4,5,4,3,1,0,2,3,5,4,4,5,5,5,3,3,3,2,1,2,,,
IWM-gauge-36,,,,,,,,,4,4,2,2,2,2,2,1,2,2,3,3,3,2,3,5,5,3,0,0,2,4,5,4,2,3,,,,,,,,,,,,,,,,
IWM-gauge-40,,,,,,,,,,4,4,5,7,7,7,5,4,3,3,3,3,3,3,4,5,5,5,3,2,2,2,2,0,1,1,3,3,3,2,2,3,2,1,1,1,2,,,,
IWM-gauge-43,,,,,,,,,,,,,,,,,,,,,3,2,3,3,5,4,3,1,1,0,0,1,1,2,3,5,5,3,3,3,5,4,4,4,4,4,,,,
IWM-gauge-46,,,,,,,,,,,,,,,,,,,,2,3,3,4,5,6,5,4,3,3,4,4,3,1,1,2,4,4,4,3,3,3,2,2,2,2,,,,,
IWM-gauge-51,,,,,,,,,,,3,4,3,2,3,4,6,6,5,4,2,2,0,2,4,5,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
IWM-gauge-54,1,2,3,4,3,3,3,2,2,3,4,4,3,4,4,4,3,3,4,4,3,1,2,4,5,4,4,4,4,2,1,1,2,4,5,5,5,3,5,4,5,4,3,3,2,2,2,,,
IWM-gauge-57,,,,,,,,,,,,,,,,,3,5,4,5,4,5,4,3,3,3,4,3,5,5,5,3,3,3,3,4,3,3,2,3,2,4,4,4,2,2,3,,,
IWM-gauge-60,1,1,3,4,4,2,2,3,4,4,2,2,1,1,0,0,1,3,4,4,2,2,3,3,3,2,3,2,1,0,0,0,0,1,2,4,4,4,2,2,1,2,1,1,0,1,1,,,
IWM-gauge-68,2,4,4,4,3,4,4,3,3,4,3,3,1,1,1,1,3,3,5,4,4,2,3,5,5,3,0,1,3,5,5,4,2,3,4,5,4,2,2,2,3,3,3,3,3,2,2,,,
IWM-gauge-85,,,,,,,,,,,,,,,,,,,,,,2,2,5,8,7,3,0,1,3,3,3,2,4,4,5,5,7,6,5,4,6,7,6,4,5,6,,,
IWM-gauge-89,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,5,3,3,2,3,3,2,2,1,2,1,1,1,3,3,3,1,2,2,,,,,
IWM-gauge-109,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,4,3,2,1,0,0,1,2,3,2,2,2,3,3,2,1,0,1,1,1,1,1,,,
IWM-gauge-113,3,5,4,6,4,3,1,0,0,2,2,2,2,3,4,3,3,2,1,0,0,1,1,2,2,3,3,3,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
IWM-gauge-114,,,,,,1,0,0,0,2,2,2,2,4,5,4,2,1,1,1,1,0,0,1,2,2,2,2,3,3,3,4,4,4,3,4,4,4,,,,,,,,,,,,
IWM-gauge-117,,,,,,,,5,5,3,3,2,2,3,4,4,3,3,2,2,1,2,2,4,4,3,2,2,3,3,3,2,2,1,1,1,1,1,,,,,,,,,,,,
